t	v
0	-67.0184
0.1	-67.0184
0.2	-67.0184
0.3	-67.0184
0.4	-67.0184
0.5	-67.0184
0.6	-67.0184
0.7	-67.0184
0.8	-67.0184
0.9	-67.0184
1	-67.0184
1.1	-67.0184
1.2	-67.0184
1.3	-67.0184
1.4	-67.0184
1.5	-67.0184
1.6	-67.0184
1.7	-67.0184
1.8	-67.0184
1.9	-67.0184
2	-67.0184
2.1	-67.0184
2.2	-67.0184
2.3	-67.0184
2.4	-67.0184
2.5	-67.0184
2.6	-67.0184
2.7	-67.0184
2.8	-67.0184
2.9	-67.0184
3	-67.0184
3.1	-67.0184
3.2	-67.0184
3.3	-67.0184
3.4	-67.0184
3.5	-67.0184
3.6	-67.0184
3.7	-67.0184
3.8	-67.0184
3.9	-67.0184
4	-67.0184
4.1	-67.0184
4.2	-67.0184
4.3	-67.0184
4.4	-67.0184
4.5	-67.0184
4.6	-67.0184
4.7	-67.0184
4.8	-67.0184
4.9	-67.0184
5	-67.0184
5.1	-67.0184
5.2	-67.0184
5.3	-67.0184
5.4	-67.0184
5.5	-67.0184
5.6	-67.0184
5.7	-67.0184
5.8	-67.0184
5.9	-67.0184
6	-67.0184
6.1	-67.0184
6.2	-67.0184
6.3	-67.0184
6.4	-67.0184
6.5	-67.0184
6.6	-67.0184
6.7	-67.0184
6.8	-67.0184
6.9	-67.0184
7	-67.0184
7.1	-67.0184
7.2	-67.0184
7.3	-67.0184
7.4	-67.0184
7.5	-67.0184
7.6	-67.0184
7.7	-67.0184
7.8	-67.0184
7.9	-67.0184
8	-67.0184
8.1	-67.0184
8.2	-67.0184
8.3	-67.0184
8.4	-67.0184
8.5	-67.0184
8.6	-67.0184
8.7	-67.0184
8.8	-67.0184
8.9	-67.0184
9	-67.0184
9.1	-67.0184
9.2	-67.0184
9.3	-67.0184
9.4	-67.0184
9.5	-67.0184
9.6	-67.0184
9.7	-67.0184
9.8	-67.0184
9.9	-67.0184
10	-67.0184
10.1	-67.0184
10.2	-67.0184
10.3	-67.0184
10.4	-67.0184
10.5	-67.0184
10.6	-67.0184
10.7	-67.0184
10.8	-67.0184
10.9	-67.0184
11	-67.0184
11.1	-67.0184
11.2	-67.0184
11.3	-67.0184
11.4	-67.0184
11.5	-67.0184
11.6	-67.0184
11.7	-67.0184
11.8	-67.0184
11.9	-67.0184
12	-67.0184
12.1	-67.0184
12.2	-67.0184
12.3	-67.0184
12.4	-67.0184
12.5	-67.0184
12.6	-67.0184
12.7	-67.0184
12.8	-67.0184
12.9	-67.0184
13	-67.0184
13.1	-67.0184
13.2	-67.0184
13.3	-67.0184
13.4	-67.0184
13.5	-67.0184
13.6	-67.0184
13.7	-67.0184
13.8	-67.0184
13.9	-67.0184
14	-67.0184
14.1	-67.0184
14.2	-67.0184
14.3	-67.0184
14.4	-67.0184
14.5	-67.0184
14.6	-67.0184
14.7	-67.0184
14.8	-67.0184
14.9	-67.0184
15	-67.0184
15.1	-67.0184
15.2	-67.0184
15.3	-67.0184
15.4	-67.0184
15.5	-67.0184
15.6	-67.0184
15.7	-67.0184
15.8	-67.0184
15.9	-67.0184
16	-67.0184
16.1	-67.0184
16.2	-67.0184
16.3	-67.0184
16.4	-67.0184
16.5	-67.0184
16.6	-67.0184
16.7	-67.0184
16.8	-67.0184
16.9	-67.0184
17	-67.0184
17.1	-67.0184
17.2	-67.0184
17.3	-67.0184
17.4	-67.0184
17.5	-67.0184
17.6	-67.0184
17.7	-67.0184
17.8	-67.0184
17.9	-67.0184
18	-67.0184
18.1	-67.0184
18.2	-67.0184
18.3	-67.0183
18.4	-67.0181
18.5	-67.0177
18.6	-67.0172
18.7	-67.0164
18.8	-67.0154
18.9	-67.0141
19	-67.0126
19.1	-67.0106
19.2	-67.0084
19.3	-67.0058
19.4	-67.0029
19.5	-66.9996
19.6	-66.996
19.7	-66.992
19.8	-66.9877
19.9	-66.983
20	-66.9781
20.1	-66.9729
20.2	-66.9673
20.3	-66.9615
20.4	-66.9554
20.5	-66.9491
20.6	-66.9425
20.7	-66.9358
20.8	-66.9288
20.9	-66.9216
21	-66.9143
21.1	-66.9068
21.2	-66.8991
21.3	-66.8914
21.4	-66.8835
21.5	-66.8755
21.6	-66.8674
21.7	-66.8593
21.8	-66.8511
21.9	-66.8428
22	-66.8345
22.1	-66.8261
22.2	-66.8178
22.3	-66.8094
22.4	-66.801
22.5	-66.7927
22.6	-66.7843
22.7	-66.776
22.8	-66.7677
22.9	-66.7594
23	-66.7512
23.1	-66.7431
23.2	-66.735
23.3	-66.7269
23.4	-66.719
23.5	-66.7111
23.6	-66.7033
23.7	-66.6955
23.8	-66.6879
23.9	-66.6804
24	-66.6729
24.1	-66.6656
24.2	-66.6583
24.3	-66.6511
24.4	-66.6441
24.5	-66.6372
24.6	-66.6303
